respondent_id,age_group,gender,college_year,monthly_budget_range,avg_monthly_budget,income_source,primary_upi_app,perceives_upi_risky,upi_usage_reason,weekly_tx_range,avg_weekly_tx,pct_unplanned,pct_unplanned_avg,balance_check_habit,tracks_expenses,ran_out_of_money,flag_morning,flag_afternoon,flag_evening,flag_latenight,flag_postmidnight,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,cat_food_delivery,cat_grocery,cat_online_shopping,cat_subscriptions,cat_gaming,cat_gadgets,cat_offline_cafe,cat_other,post_regret_action,hidden_purchase,regret_intensity,high_regret,regret_description,impulse_composite_score,cluster,cluster_name
2010,22-25,Female,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Comfort,4-7,5.0,40-60%,50,3,1,3,0,0,1,1,1,1,1,3,3,4,2,1,2,1,0,0,1,0,0,0,0,0,See my expense and feel worse,1,8,1,"Bought a pair of earrings from online, the delivery product was damaged with no return or exchange options, it was a sad day. I was super excited when buying it as I really liked the product and it was right in my budget so I made the purchase almost immediately. ",2.125,1.0,High Impulsive Spenders
2011,25+ (Senior citizen of college life),Male,Ug,Rs6000+,7000.0,I run a side hustle / freelance / small business,Amazon Pay,1,Safety,8-15,4.0,40-60%,50,2,2,1,1,0,0,0,0,5,4,3,4,3,3,4,4,1,0,1,0,1,1,0,0,0,Tell to friend,0,7,1,,3.75,2.0,Controlled Spenders
2012,22-25,Male,Pg,Rs1000 - Rs3000,2000.0,100% Parents Money,Google Pay (GPay),1,Comfort,8-15,12.0,40-60%,50,0,1,2,0,0,0,1,0,5,5,5,3,2,2,4,2,2,1,1,0,1,0,0,0,0,Tell to friend,0,5,0,,3.5,2.0,Controlled Spenders
2013,18-21,Female,Pg,Rs1000 - Rs3000,2000.0,100% Parents Money,PhonePe,0,Safety,4-7,5.0,20-40%,30,2,1,2,0,0,0,1,0,3,3,4,3,4,3,3,3,2,0,0,1,0,0,0,0,0,Return it,0,5,0,,3.25,2.0,Controlled Spenders
2014,22-25,Male,Pg,Rs1000 - Rs3000,2250.0,100% Parents Money,PhonePe,1,Comfort,4-7,5.0,20-40%,30,0,2,2,0,1,0,0,0,1,2,1,2,1,3,3,2,0,0,0,1,0,0,0,0,0,Accept it or move on,2,5,0,,1.875,2.0,Controlled Spenders
2015,18-21,Female,Ug,Rs1000 - Rs3000,2250.0,100% Parents Money,Google Pay (GPay),1,Merchant preference,4-7,5.0,20-40%,30,2,2,2,0,0,0,1,0,1,1,1,3,1,1,1,1,2,0,0,0,0,0,1,0,0,Accept it or move on,2,5,0,,1.25,2.0,Controlled Spenders
2016,18-21,Female,Ug,< Rs1000,750.0,100% Parents Money,PhonePe,0,Merchant preference,1-3,2.0,<20%,10,3,0,0,0,1,0,0,0,3,3,1,1,5,1,1,1,0,0,0,0,0,0,0,0,1,Accept it or move on,0,1,0,,2.0,2.0,Controlled Spenders
2017,Under 18,Female,Ug,Rs1000 - Rs3000,2000.0,100% Parents Money,PhonePe,1,Convenience,1-3,2.0,40-60%,50,3,1,2,0,0,1,0,0,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,0,Accept it or move on,0,8,1,"I bought a cancan skirt , I needed it but it wasn't so comfortable.",1.25,0.0,Routine Evening Spenders
2018,18-21,Female,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,PhonePe,1,Safety,15+,18.0,40-60%,50,2,1,2,0,1,0,0,0,1,3,1,1,1,1,1,3,2,1,1,1,0,0,0,0,0,See my expense and feel worse,0,7,1,,1.5,2.0,Controlled Spenders
2019,18-21,Female,Ug,Rs1000 - Rs3000,500.0,100% Parents Money,Google Pay (GPay),0,Convenience,1-3,2.0,20-40%,30,3,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,Buy Something else to feel better,0,1,0,,1.0,2.0,Controlled Spenders
2020,18-21,Female,Ug,Rs1000 - Rs3000,2000.0,I have an internship / part-time job,Paytm,1,Safety,4-7,5.0,20-40%,30,2,2,3,1,0,0,0,0,2,2,5,3,3,1,1,5,1,0,1,0,0,0,0,0,0,Accept it or move on,0,7,1,,2.75,2.0,Controlled Spenders
2021,18-21,Female,Ug,Rs3000 - Rs6000,4500.0,100% Parents Money,Google Pay (GPay),0,Safety,1-3,3.0,20-40%,30,3,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,1,0,0,0,See my expense and feel worse,2,6,1,,1.0,2.0,Controlled Spenders
2022,22-25,Female,Ug,Rs6000+,900.0,Mix of parents + I earn something on the side,PhonePe,1,Comfort,4-7,5.0,<20%,10,3,2,2,0,0,1,0,0,1,3,1,3,2,3,3,3,1,0,1,1,0,0,0,0,0,Return it,0,3,0,,2.375,0.0,Routine Evening Spenders
2023,18-21,Female,Ug,< Rs1000,750.0,100% Parents Money,PhonePe,0,Comfort,1-3,2.0,<20%,10,3,1,2,0,0,1,0,0,3,1,3,2,2,1,2,1,1,0,1,0,0,0,0,0,0,Accept it or move on,1,8,1,,1.875,0.0,Routine Evening Spenders
2024,18-21,Female,Ug,< Rs1000,750.0,100% Parents Money,PhonePe,0,Comfort,1-3,2.0,<20%,10,3,2,2,0,0,0,1,0,5,2,4,3,2,1,1,3,1,1,0,0,0,0,0,0,0,Accept it or move on,2,10,1,,2.625,2.0,Controlled Spenders
2025,22-25,Female,Ug,Rs1000 - Rs3000,3000.0,100% Parents Money,Google Pay (GPay),1,Safety,4-7,5.0,60-80%,70,3,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,Accept it or move on,0,2,0,,1.0,0.0,Routine Evening Spenders
2026,22-25,Female,Ug,Rs6000+,7000.0,I run a side hustle / freelance / small business,PhonePe,1,Comfort,8-15,15.0,20-40%,30,2,1,2,0,0,1,0,0,1,1,1,1,5,1,1,1,0,0,0,0,0,0,0,1,0,Return it,2,2,0,Recently I purchased a trouser online from UPI and now I regret it because it did not work well.,1.5,0.0,Routine Evening Spenders
2027,18-21,Female,Ug,Rs1000 - Rs3000,3100.0,100% Parents Money,Google Pay (GPay),1,Comfort,8-15,15.0,40-60%,50,2,1,1,0,0,1,0,0,1,4,2,1,2,2,2,2,1,0,0,0,1,1,0,0,0,Accept it or move on,0,4,0,,2.0,0.0,Routine Evening Spenders
2028,18-21,Female,Pg,Rs1000 - Rs3000,3000.0,100% Parents Money,PhonePe,1,Comfort,1-3,3.0,40-60%,50,1,1,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Accept it or move on,0,3,0,,1.0,0.0,Routine Evening Spenders
2029,18-21,Female,Ug,Rs1000 - Rs3000,2000.0,I run a side hustle / freelance / small business,Paytm,1,Convenience,4-7,5.0,40-60%,50,2,2,2,0,0,1,0,0,5,1,1,3,1,1,1,1,1,0,0,1,0,0,0,0,0,Accept it or move on,2,2,0,"None, didnt have enough money after spending on food. No regrets ever for food.",1.75,0.0,Routine Evening Spenders
