age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,20-40% (Understandable),Late Night (10PM - 2AM),Never (Pls check it for yourself),3,3,3,4,2,4,2,4,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime)",,Accept it or move on (aaj tak nahi huva),6,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,i feel comfortable using upi,,3014
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Paytm,1-3 (No comments),,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),Yes,because shops does not accept cash,,3015
Under 18,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),1,1,1,2,3,1,2,1,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),10,No (we don't believe),Yes (I use an app or diary for it),Rarely,No,i feel comfortable using upi,,3016
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),4500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),6.0,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),1,1,1,3,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,,Yes (I use an app or diary for it),Rarely,Yes,i feel comfortable using upi,,3017
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,4-7 (Okay this is reasonable ),,20-40% (Understandable),Evening;Late Night (10PM - 2AM),"I check, feel sad, and buy anyway",1,1,3,4,3,1,1,4,5-10 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),7,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,Yes,i am afraid that i might lose cash.,,3018
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),7.0,Less than 20% (its a lie),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,4,1-2 times,In college cafe's and normal shops,,See my expense and feel worse (No place for move on),7,No (we don't believe),Yes (I use an app or diary for it),"Yes, regularly",I never taught about this,i feel comfortable using upi,,3019
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,I have an internship / part-time job,Google Pay (GPay),15+ (You are the reason companies are profitable ),28.0,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,1,1,4,1,1,1,1,3-5 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Rarely,Yes,i feel comfortable using upi,,3020
Under 18,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Bhim UPI,1-3 (No comments),,40-60% (Mostly it on the food),Evening,Never (Pls check it for yourself),1,3,1,1,1,1,1,1,3-5 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,See my expense and feel worse (No place for move on),7,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)",Never (teach us your ways),Yes,i feel comfortable using upi,,3021
22-25,Male,Pg,₹6000+ (Force fully leaving in the college hostel),22000.0,I have an internship / part-time job,Cred,15+ (You are the reason companies are profitable ),,20-40% (Understandable),Evening,Rarely (Assuming account is full of money),1,1,1,1,2,1,2,2,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),4,Maybe (don't want to accept it),"No, I need some surprise in life","Yes, Occasionally",Yes,i feel comfortable using upi,,3022
22-25,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,Cred,4-7 (Okay this is reasonable ),6.0,20-40% (Understandable),Afternoon;Late Night (10PM - 2AM),Always (I am disciplined and boring),1,3,1,1,2,1,1,5,3-5 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,See my expense and feel worse (No place for move on),4,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,i feel comfortable using upi,"Most of my expense is for food and groceries, I check mess menu. Than I order food from zomato/swiggy/eatsure",3023
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),5000.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),10.0,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,2,1,1,1,1,1-2 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart);In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),10,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,i am afraid that i might lose cash.,"on the 1st of April I was purchase two umbrellas of amount 1240, I was thinking that this will be an ocm purchase, but today when I got it and unbox it, I was feeling anxiety to show it to my friends and then me and my who was the partner of another umbrella, we packed it back hand to hand for return without  showing anyone.",3024
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2100.0,I have an internship / part-time job,PhonePe,4-7 (Okay this is reasonable ),6.0,40-60% (Mostly it on the food),Evening,Always (I am disciplined and boring),1,1,1,1,2,1,1,1,3-5 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Never (teach us your ways),No,i feel comfortable using upi,,3025
18-21,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Bhim UPI,4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,1,1,4,1,1,1,1,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),Yes,forgot carrying cash along with me.,Most of my transactions are ticket bookings !!,3026
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5000.0,Mix of parents + I earn something on the side,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Afternoon;Evening,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,Never,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),Yes (I use an app or diary for it),Never (teach us your ways),Yes,"due to high digital adoption, ironically cash has become less liquid than upi. also, it helps that you get a monthly statement of transactions",,3027
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),4000.0,Mix of parents + I earn something on the side,Paytm,8-15 (The apps know your face by now),,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,1,1,1,1,1,1,1,Never,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),Yes,because shops does not accept cash,,3028
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5500.0,Mix of parents + I earn something on the side,Paytm,8-15 (The apps know your face by now),13.0,20-40% (Understandable),Evening;Late Night (10PM - 2AM),Always (I am disciplined and boring),2,1,3,2,4,3,1,2,1-2 times,Food delivery (Swiggy / Zomato);Gadgets / Accessories;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,i feel comfortable using upi,,3029
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1500.0,Mix of parents + I earn something on the side,Navi UPI,4-7 (Okay this is reasonable ),7.0,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,3,1,3,1,1,Never,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,See my expense and feel worse (No place for move on),7,No (we don't believe),Yes (I use an app or diary for it),Never (teach us your ways),Yes,1.i am afraid i might lose cash 2. upi offers numerous rewards better than cash transactions. 3. a sense of safety and being able to track my finances.,"I did not regret a transaction so much that I remember it, but prolly it must be on food.. all digital transactions except food i make are 100 % preplanned and I never regret them. I am not overspending; I am really happy with my financial status. I have been saving money since I started out and I now have aprx 25000 saved only from my pocket money which I plan to keep going on (Mutual Funds) (my parents dont know about it btw)...Also i dont wish to share my email address",3030
Under 18,Male,Ug,₹6000+ (Force fully leaving in the college hostel),6500.0,100% Parents Money,Navi UPI,15+ (You are the reason companies are profitable ),30.0,More than 80% (You need help for that fill this form),Morning;Afternoon;Evening;Late Night (10PM - 2AM);Post Midnight,Never (Pls check it for yourself),1,2,1,4,4,2,2,4,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),"No, I need some surprise in life","Yes, regularly",Yes,i feel comfortable using upi,,3031
18-21,Male,Ug,₹6000+ (Force fully leaving in the college hostel),7000.0,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),25.0,More than 80% (You need help for that fill this form),Morning;Afternoon;Evening;Late Night (10PM - 2AM);Post Midnight,Never (Pls check it for yourself),1,2,3,1,3,1,1,3,10+ (Lost the count),Courses,"
Anything related to education 
",Buy Something else to feel better,1,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,i feel comfortable using upi,I bought a biryani from one restaurant and I didn’t like it my friend told me not to order again and i didnt I should’ve ordered from another restaurant ,3032
18-21,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),3000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,Rarely (Assuming account is full of money),1,2,1,1,1,1,1,1,Never,Other,I won't regret ,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),Yes (I use an app or diary for it),Never (teach us your ways),Yes,i feel comfortable using upi,,3033
18-21,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,2,2,1,1,3,1-2 times,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),3,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Never (teach us your ways),Yes,i feel comfortable using upi,,3034
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Paytm,15+ (You are the reason companies are profitable ),,20-40% (Understandable),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,2,Never,Food delivery (Swiggy / Zomato);Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),Yes (I use an app or diary for it),Never (teach us your ways),Yes,i am afraid that i might lose cash.,,3035
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Afternoon,Sometimes (When I remember I'm poor),1,1,1,3,1,3,1,1,3-5 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),4,Maybe (don't want to accept it),"No, I need some surprise in life","Yes, Occasionally",Yes,i feel comfortable using upi,,3036
22-25,Female,Pg,₹3000 - ₹6000 (I need to go out of this campus),4000.0,Mix of parents + I earn something on the side,Google Pay (GPay),15+ (You are the reason companies are profitable ),19.0,More than 80% (You need help for that fill this form),Afternoon;Evening;Late Night (10PM - 2AM),"I check, feel sad, and buy anyway",1,1,1,2,4,1,1,1,1-2 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Subscriptions (Netflix, Spotify, Prime);In college cafe's and normal shops",,See my expense and feel worse (No place for move on),9,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,Yes,i feel comfortable using upi,"I've recently gotten addicted to white sauce/cheesy pastas and I buy it from zomato, blinkit and sometimes njc. It is my guilty pleasure and I keep eating it when I'm sad or depressed and it cheers me up.!",3037
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Rarely (Assuming account is full of money),1,1,2,3,1,1,1,2,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),6,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,i feel comfortable using upi,,3038
18-21,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Google Pay (GPay),1-3 (No comments),,Less than 20% (its a lie),Evening,Never (Pls check it for yourself),1,4,1,1,1,1,1,1,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),6,,"I try, but give up by one or two week (Relatable)",Never (teach us your ways),I never taught about this,i feel comfortable using upi,,3039
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5000.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),10.0,Less than 20% (its a lie),Evening;Late Night (10PM - 2AM),"I check, feel sad, and buy anyway",1,1,1,1,1,1,1,1,Never,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),4,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,Yes,i feel comfortable using upi,,3040
22-25,Female,Pg,₹3000 - ₹6000 (I need to go out of this campus),,Mix of parents + I earn something on the side,Google Pay (GPay),4-7 (Okay this is reasonable ),,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,3,1,1,2,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);In college cafe's and normal shops,,See my expense and feel worse (No place for move on),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,Yes,i am afraid that i might lose cash.,,3041
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,Google Pay (GPay),1-3 (No comments),,20-40% (Understandable),Evening;Post Midnight,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,Never,In college cafe's and normal shops;Other,,Tell to friend (and force them to buy also),2,,"No, I need some surprise in life",Rarely,Yes,i feel comfortable using upi,,3042
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,I have an internship / part-time job,Paytm,8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),3,2,3,4,5,4,4,4,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming;Gadgets / Accessories;Courses;In college cafe's and normal shops;Other",,Buy Something else to feel better,5,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",No,i feel comfortable using upi,,3043
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2500.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),11.0,40-60% (Mostly it on the food),Evening,"I check, feel sad, and buy anyway",1,3,1,2,4,4,1,1,1-2 times,Food delivery (Swiggy / Zomato);Other,i mean I'd regret food orders when i get the urge to try out a new cafe and the food turns out to be absolute bullshit ,See my expense and feel worse (No place for move on),6,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i am afraid that i might lose cash.,"umm a recent afternoon food delivery after seeing horrible menu- but the food was quite bad and didn't get to eat satisfactorily either ways really happy before i bought it! the excitement of food made me click ""pay"" ",3044
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),6.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Always (I am disciplined and boring),1,1,3,2,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,Yes,because shops does not accept cash,,3045
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),3700.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Rarely (Assuming account is full of money),2,3,3,2,4,2,3,4,1-2 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),6,Maybe (don't want to accept it),"No, I need some surprise in life",Never (teach us your ways),Yes,i feel comfortable using upi,I brought a dress that would need an invitation to a royal ball to wear and for it to look good I need to buy more things It came really different than how it should be and return date is gone I have no idea why did i buy it,3046
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Navi UPI,4-7 (Okay this is reasonable ),,20-40% (Understandable),Afternoon;Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,2,1,3,5,2,1,1,Never,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);In college cafe's and normal shops",,Accept it or move on (aaj tak nahi huva),1,Yes (don't worry many of us does),Yes (I use an app or diary for it),Rarely,Yes,i feel comfortable using upi,,3047
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,PhonePe,8-15 (The apps know your face by now),,20-40% (Understandable),Afternoon;Evening,Sometimes (When I remember I'm poor),1,1,1,1,3,1,1,3,5-10 times,In college cafe's and normal shops,,See my expense and feel worse (No place for move on),8,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,Yes,because shops does not accept cash,I purchased two shirts that are too expsenive but I have money in my wallet so it is feel easy to purchace them but after buying them I am feeling regerted till now ,3048
18-21,Male,Ug,₹6000+ (Force fully living in the college hostel),,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),,60-80% (Probably you love everything you see online),Morning;Afternoon;Evening;Late Night (10PM - 2AM);Post Midnight,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,10+ (Lost the count),Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),6,Yes (don't worry many of us does),I am scared of what I'll find,"Yes, regularly",Yes,i feel comfortable using upi,,3049
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),2,2,3,1,1,2,2,2,5-10 times,Food delivery (Swiggy / Zomato),,Tell to friend (and force them to buy also),10,No (we don't believe),"No, I need some surprise in life","Yes, Occasionally",No,i feel comfortable using upi,,3050
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Bhim UPI,4-7 (Okay this is reasonable ),4.0,20-40% (Understandable),Afternoon,Rarely (Assuming account is full of money),1,1,1,2,5,1,4,5,Never,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),Yes,i feel comfortable using upi,,3051
18-21,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),1000.0,100% Parents Money,Paytm,4-7 (Okay this is reasonable ),,20-40% (Understandable),Evening,Never (Pls check it for yourself),5,2,5,5,5,2,1,2,5-10 times,Food delivery (Swiggy / Zomato),,Buy Something else to feel better,8,Yes (don't worry many of us does),Yes (I use an app or diary for it),Never (teach us your ways),No,i feel comfortable in upi,,3052
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),1700.0,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),,60-80% (Probably you love everything you see online),Evening;Late Night (10PM - 2AM),Rarely (Assuming account is full of money),5,1,5,1,3,1,1,4,I have lost count,"Subscriptions (Netflix, Spotify, Prime);Other",Blinkit and Instamart,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,it's hassle free and takes less time than traditional method.,,3053
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3000.0,100% Parents Money,Paytm,4-7 (Okay this is reasonable ),5.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),2,1,4,2,1,1,1,3,10+ (Lost the count),Food delivery (Swiggy / Zomato);In college cafe's and normal shops;Other,Cold drink ,Return it (not possible because already ate the ice cream),9,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,convenient ,Coldrinks and icecrean orders by,4000
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PayZapp,4-7 (Okay this is reasonable ),6.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),1,1,2,1,1,1,1,1,1-2 times,"Food delivery (Swiggy / Zomato);Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming",,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)",Never (teach us your ways),I never taught about this,not have change,,4001
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5500.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,More than 80% (You need help for that fill this form),Evening;Late Night (10PM - 2AM);Post Midnight,Sometimes (When I remember I'm poor),5,1,1,1,1,1,1,5,1-2 times,"Subscriptions (Netflix, Spotify, Prime);Gadgets / Accessories;Other",Outings with friends,Accept it or move on (aaj tak nahi huva),9,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,no cash,Crunchyroll Mega fan subscription. I was feeling frustrated from midsems and vented by buying the subscription.,4002
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5000.0,100% Parents Money,Paytm,8-15 (The apps know your face by now),15.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Never (Pls check it for yourself),1,1,1,3,1,1,1,4,1-2 times,Food delivery (Swiggy / Zomato);Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),4,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,i feel comfortable using upi,,4003
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),5669.0,100% Parents Money,Google Pay (GPay),15+ (You are the reason companies are profitable ),34.0,40-60% (Mostly it on the food),Evening,Rarely (Assuming account is full of money),1,1,1,1,2,1,1,3,10+ (Lost the count),Food delivery (Swiggy / Zomato),,See my expense and feel worse (No place for move on),7,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,i feel comfortable using upi,,4004
18-21,Male,Ug,₹6000+ (Force fully living in the college hostel),8000.0,100% Parents Money,PhonePe,8-15 (The apps know your face by now),12.0,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,2,1,2,1,3,2,1,1-2 times,Gadgets / Accessories;In college cafe's and normal shops,,See my expense and feel worse (No place for move on),4,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,i feel comfortable using upi,Leaf buds and headphones,4005
18-21,Male,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,PhonePe,8-15 (The apps know your face by now),,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,1,1-2 times,Blinkit / Instamart;In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),7,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,i feel comfortable using upi,,4006
18-21,Male,Ug,₹3000 - ₹6000 (I need to go out of this campus),4000.0,Mix of parents + I earn something on the side,Navi UPI,8-15 (The apps know your face by now),10.0,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Rarely (Assuming account is full of money),1,1,1,1,1,1,1,3,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),Yes (I use an app or diary for it),Rarely,Yes,i feel comfortable using upi,,4007
Under 18,Male,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),500.0,100% Parents Money,Fampay,8-15 (The apps know your face by now),9.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,1,1,1,1,3,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),4,Maybe (don't want to accept it),Yes (I use an app or diary for it),Never (teach us your ways),No,because shops does not accept cash,,4008
